time,gFx,gFy,gFz,TgF
1.209819,-0.4265,0.1500,0.8957,1.003
1.212459,-0.4532,0.1610,0.8908,1.012
1.214905,-0.4898,0.1779,0.8649,1.010
1.217459,-0.5418,0.1820,0.8590,1.032
1.219915,-0.7176,0.2824,0.8400,1.140
1.222357,-0.7606,0.2991,0.8116,1.152
1.225078,-0.7753,0.2822,0.7891,1.142
1.227554,-0.7976,0.2849,0.7679,1.143
1.229973,-0.7923,0.2893,0.7102,1.103
1.232464,-0.8594,0.2570,0.7111,1.145
1.235002,-0.9283,0.2206,0.7053,1.187
1.237357,-0.9771,0.1950,0.7002,1.218
1.239850,-0.9826,0.1884,0.6769,1.208
1.242516,-0.9864,0.1879,0.6740,1.209
1.245106,-0.9358,0.1969,0.6736,1.170
1.247577,-0.8960,0.2192,0.6811,1.147
1.250042,-0.8573,0.2285,0.6997,1.130
1.252527,-0.8012,0.2455,0.7158,1.102
1.254984,-0.7440,0.2612,0.7463,1.086
1.257487,-0.7128,0.2705,0.7568,1.074
1.260117,-0.6767,0.2709,0.7822,1.069
1.262622,-0.6303,0.2761,0.7859,1.045
1.265177,-0.5793,0.2776,0.8033,1.029
1.267588,-0.5380,0.2786,0.8116,1.013
1.270107,-0.5152,0.2746,0.7938,0.985
1.275213,-0.5071,0.2621,0.7754,0.963
1.275543,-0.5064,0.2534,0.7789,0.963
1.277514,-0.5192,0.2264,0.7498,0.940
1.280022,-0.5206,0.2031,0.7276,0.917
1.282847,-0.5294,0.2077,0.6960,0.899
1.285105,-0.5157,0.1933,0.6780,0.873
1.287615,-0.5257,0.1964,0.6671,0.872
1.295037,-0.5233,0.1852,0.6403,0.847
1.295631,-0.5233,0.1864,0.6268,0.838
1.295937,-0.5103,0.1854,0.6214,0.825
1.297661,-0.5067,0.1864,0.6210,0.823
1.300110,-0.4915,0.1764,0.6105,0.803
1.302711,-0.4928,0.1810,0.6121,0.806
1.305315,-0.4854,0.1717,0.6088,0.797
1.322461,-0.4861,0.1666,0.5858,0.779
1.322889,-0.4793,0.1505,0.5806,0.768
1.323028,-0.4840,0.1412,0.5811,0.769
1.323228,-0.4901,0.1265,0.5633,0.757
1.323337,-0.4724,0.1155,0.5608,0.742
1.323434,-0.4717,0.1111,0.5540,0.736
1.323529,-0.4824,0.1097,0.5587,0.746
1.327599,-0.5150,0.1089,0.5685,0.775
1.328192,-0.5250,0.1062,0.5836,0.792
1.332350,-0.5118,0.0882,0.5750,0.775
1.332813,-0.4917,0.0642,0.5680,0.754
1.336928,-0.6623,0.0435,0.5802,0.882
1.338326,-0.8711,0.0181,0.6166,1.067
1.340677,-0.7122,0.0398,0.7163,1.011
1.343212,-0.5761,0.0647,0.8089,0.995
1.536624,-0.6369,0.0764,0.8917,1.099
1.538360,-0.6255,0.0730,0.9514,1.141
1.538741,-0.5495,0.0630,0.9924,1.136
1.539003,-0.4982,0.0379,1.0494,1.162
1.539526,-0.4199,0.0268,1.1030,1.180
1.539758,-0.3544,0.0119,1.1186,1.173
1.539980,-0.2936,0.0065,1.1410,1.178
1.540196,-0.2591,-0.0095,1.1435,1.172
